"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","AveExpr","Gene_log2_P.value"
"1","A2M","12_9268746","UP",0.475958694809302,0.375868349397773,5.92551294110297,1.41170065886091
"2","A3GALT2","1_33771424","UP",0.539508602498279,0.291392157931156,0.536067335850767,1.77896604338085
"3","AAAS","12_53718188","NA",-0.212641264299817,0.24352267247978,17.3177367888949,2.03787199834387
"4","AACS","12_125541824","NA",0.0390896269642598,0.886283108551805,9.56320720959383,0.17416047730101
"5","AADAC","3_151521668","NA",0.749342654681386,0.271731344117774,0.106848214188754,1.87974710534839
"6","AADACL4","1_12700924","NA",-0.208667810269302,0.495571305628797,0.0616429461566192,1.01283543934084
"7","AAMP","2_219134749","NA",-0.122454515478177,0.45698993369597,17.1589847814136,1.12976570808728
"8","AAMP","2_219119543","NA",-0.122454515478177,0.45698993369597,17.1589847814136,1.12976570808728
"9","AANAT","17_74442246","NA",-0.0547788571639855,0.909223092462254,1.42286892494572,0.137293768675179
"10","AAR2","20_34821819","NA",-0.185557147058104,0.20076518449787,13.5321560109792,2.31641898748688
"11","AARS2","6_44279450","NA",-0.0968113536715007,0.624098451991629,11.1418344521025,0.680154461639035
"12","AASDH","4_57252367","NA",0.128429981240364,0.462043635646157,11.2147694733722,1.11389898792662
"13","AATK","17_79104078","NA",-0.128473987813118,0.832001623154475,4.77207965147076,0.265341751960144
"14","ABAT","16_8757589","NA",-0.386287419799814,0.13609861634613,9.48535060771653,2.87727569520728
"15","ABCA1","9_107684509","NA",0.20963697812525,0.720208629222406,10.9395232324353,0.473513209519416
"16","ABCA10","17_67240575","NA",0.378287957686672,0.454623214961552,1.50524177918659,1.13725673881174
"17","ABCA17P","16_2388413","NA",0.984851781308424,0.0927818799058257,0.633805687892057,3.43001311203561
"18","ABCA2","9_139920814","NA",0.975513164909683,0.0219813192332424,39.8212801358107,5.50757821594697
"19","ABCA3","16_2388413","NA",1.26618750434247,0.00677526988159749,5.30612795400355,7.20550586969557
"20","ABCA5","17_67240575","NA",0.238893529367742,0.699193765013911,7.79878909274121,0.516235775071186
"21","ABCA5","17_67321593","UP",0.238893529367742,0.699193765013911,7.79878909274121,0.516235775071186
"22","ABCA7","19_1036370","UP",-0.334013873794618,0.505712075503212,29.9006939971432,0.983611867024094
"23","ABCA9","17_67053971","NA",0.767090718163018,0.275747676629055,1.95867952081342,1.8585793647547
"24","ABCB10","1_229692817","NA",-0.0188857008370578,0.930542023928083,19.767208321761,0.103856790015479
"25","ABCB10","1_229666129","NA",-0.0188857008370578,0.930542023928083,19.767208321761,0.103856790015479
"26","ABCB4","7_87109481","NA",0.370713187023734,0.51060430365857,0.977339062247465,0.969722397250613
"27","ABCB5","7_20639530","NA",-0.606579282185856,0.376258707425762,0.191614956196562,1.41020312560079
"28","ABCB6","2_220077689","UP",-0.208525062750052,0.687746000919342,2.42516530070966,0.540052249252612
"29","ABCB6","2_220077689","UP",-0.208525062750052,0.687746000919342,2.42516530070966,0.540052249252612
"30","ABCB7","X_74371809","NA",0.207889232217329,0.159068515952326,15.6821268539729,2.65227978011263
"31","ABCB8","7_150720024","NA",0.66530508801414,0.00202900278893664,12.5667566911707,8.94501343653041
"32","ABCB9","12_123455277","NA",0.209777924027621,0.510428289450275,4.43706516586751,0.970219805128995
"33","ABCB9","12_123460861","UP",0.209777924027621,0.510428289450275,4.43706516586751,0.970219805128995
"34","ABCB9","12_123460861","UP",0.209777924027621,0.510428289450275,4.43706516586751,0.970219805128995
"35","ABCB9","12_123460861","UP",0.209777924027621,0.510428289450275,4.43706516586751,0.970219805128995
"36","ABCC1","16_16029025","UP",0.0406143118234699,0.896608447850245,55.7951881683811,0.15745000235328
"37","ABCC10","6_43395091","NA",-0.26081885704833,0.181072581374462,17.1024660130323,2.46535998984636
"38","ABCC11","16_48265901","NA",-0.0623873722244677,0.821897129850044,0.726127843148711,0.282970260034491
"39","ABCC12","16_48189744","NA",-0.466118045321013,0.209271197101231,0.0760133279762886,2.25655433398032
"40","ABCC3","17_48708886","NA",-0.0479968188794138,0.951276547731315,2.33319694341174,0.0720632837262359
"41","ABCC4","13_95951787","UP",-0.0977957307904926,0.839282254519857,14.4912255782453,0.252772017576788
"42","ABCC4","13_95951787","UP",-0.0977957307904926,0.839282254519857,14.4912255782453,0.252772017576788
"43","ABCC5","3_183733408","NA",-0.207240226243883,0.402983174757637,22.2766572236952,1.31120848988212
"44","ABCC5-AS1","3_183724060","NA",0.124903413823482,0.812469339213247,0.258017840149624,0.299614724935385
"45","ABCC8","11_17490949","NA",-0.701336127694586,0.380395791871319,0.200299804706,1.39442680841538
"46","ABCD1","X_152987864","UP",-1.00756369536249,0.00251450642208279,12.590184638165,8.63550904657839
