from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	638	1_850619	1_831895
2	1	1_1096739	1_850619
2	641	1_1096739	1_1109733
2	644	1_1096739	1_1206874
3	650	1_2155766	1_2319572
3	5	1_2155766	1_2514865
4	652	1_2335725	1_2696923
5	4	1_2514865	1_2335725
6	3485	1_3581866	1_3531260
7	3486	1_4706843	1_6027963
8	656	1_8375879	1_7998728
8	657	1_8375879	1_8008116
8	658	1_8375879	1_8081098
9	3487	1_12225212	1_11793489
9	3488	1_12225212	1_11879068
9	3489	1_12225212	1_11917524
9	3490	1_12225212	1_11953288
9	3491	1_12225212	1_11980154
9	3492	1_12225212	1_12034073
9	3493	1_12225212	1_12288289
9	3494	1_12225212	1_12566709
9	3495	1_12225212	1_12700924
10	3496	1_16395667	1_16081773
10	669	1_16395667	1_16467015
10	670	1_16395667	1_16485103
10	671	1_16395667	1_16516866
10	672	1_16395667	1_16538420
10	673	1_16395667	1_16542893
10	674	1_16395667	1_16555003
10	675	1_16395667	1_16560582
10	676	1_16395667	1_16677336
10	677	1_16395667	1_16763583
12	707	1_23695196	1_38156332
13	689	1_26122880	1_25755293
13	690	1_26122880	1_25869153
13	691	1_26122880	1_25938885
13	692	1_26122880	1_25977545
14	700	1_32226064	1_32410371
15	702	1_32711309	1_32753663
15	703	1_32711309	1_32787407
15	704	1_32711309	1_32794627
15	3497	1_32711309	1_32814703
15	705	1_32711309	1_32825454
15	706	1_32711309	1_32860268
16	3498	1_47901530	1_6840889
16	11	1_47901530	1_18955828
16	707	1_47901530	1_38156332
16	713	1_47901530	1_47642052
16	714	1_47901530	1_47647596
16	715	1_47901530	1_47687948
16	3499	1_47901530	1_48084329
16	18	1_47901530	1_63769568
17	719	1_53085455	1_52869928
17	720	1_53085455	1_52871279
18	16	1_63769568	1_47901530
18	3500	1_63769568	1_63985757
18	3501	1_63769568	1_63997170
18	3502	1_63769568	1_91180883
19	739	1_64056350	1_63247446
19	746	1_64056350	1_65880831
21	3503	1_67621847	1_67217482
21	3504	1_67621847	1_67389759
21	3505	1_67621847	1_67661736
21	3506	1_67621847	1_67733113
21	3507	1_67621847	1_67878837
21	3508	1_67621847	1_68006279
21	3509	1_67621847	1_68149975
21	3510	1_67621847	1_68296855
22	752	1_75194205	1_71530008
22	753	1_75194205	1_71546573
24	759	1_89827325	1_89457623
24	760	1_89827325	1_89615945
24	761	1_89827325	1_89640140
24	762	1_89827325	1_89664459
24	763	1_89827325	1_89723555
24	764	1_89827325	1_89735158
24	3511	1_89827325	1_90454162
25	3512	1_92413550	1_91860610
25	766	1_92413550	1_91961842
25	3513	1_92413550	1_93163525
26	768	1_94370390	1_94876094
26	773	1_94370390	1_95536274
26	3514	1_94370390	1_95698761
27	769	1_95006048	1_95277745
27	770	1_95006048	1_95317503
27	772	1_95006048	1_95519978
27	773	1_95006048	1_95536274
28	3515	1_101000525	1_100231938
28	3516	1_101000525	1_100294153
28	782	1_101000525	1_101360898
29	3517	1_114429479	1_113246774
30	3518	1_146642039	1_147374663
30	1656	1_146642039	16_70882756
30	1657	1_146642039	16_70899701
30	1658	1_146642039	16_70905383
31	790	1_150113719	1_149812977
31	792	1_150113719	1_149848366
31	793	1_150113719	1_149858435
31	794	1_150113719	1_149878034
31	796	1_150113719	1_149907731
31	797	1_150113719	1_149981982
31	798	1_150113719	1_150038459
33	819	1_152728566	1_152741438
33	3519	1_152728566	1_153123306
33	35	1_152728566	1_153174920
33	832	1_152728566	1_153189952
34	824	1_152878549	1_152914929
34	3519	1_152878549	1_153123306
34	35	1_152878549	1_153174920
34	832	1_152878549	1_153189952
34	1656	1_152878549	16_70882756
34	1657	1_152878549	16_70899701
34	1658	1_152878549	16_70905383
35	34	1_153174920	1_152878549
36	844	1_156107982	1_156171594
36	845	1_156107982	1_156208305
36	846	1_156107982	1_156216309
36	847	1_156107982	1_156252139
36	848	1_156107982	1_156264871
37	853	1_156881919	1_156682729
37	854	1_156881919	1_156696068
38	3520	1_161164079	1_160065149
38	866	1_161164079	1_161279245
38	867	1_161164079	1_161283731
38	868	1_161164079	1_161333287
38	870	1_161164079	1_161719355
38	871	1_161164079	1_161730087
41	880	1_172113777	1_172106830
41	881	1_172113777	1_172316003
41	3521	1_172113777	1_172320470
41	882	1_172113777	1_172332056
41	883	1_172113777	1_172387710
41	3522	1_172113777	1_172410203
42	3523	1_205778111	1_205561889
42	894	1_205778111	1_206222001
42	895	1_205778111	1_206257776
42	896	1_205778111	1_206314485
42	905	1_205778111	1_207226202
43	897	1_207068595	1_206784719
43	3524	1_207068595	1_206846623
43	3525	1_207068595	1_206908792
43	899	1_207068595	1_206945005
43	900	1_207068595	1_206971832
43	901	1_207068595	1_207038127
45	3526	1_217305462	1_217956905
46	919	1_223561771	1_223314392
47	3527	1_226110293	1_225596388
47	924	1_226110293	1_225616610
48	3528	1_228128025	1_227085018
48	3529	1_228128025	1_227748098
48	3530	1_228128025	1_228399082
48	3531	1_228128025	1_228610767
