from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	2281	1_1465274	1_1309969
1	2282	1_1465274	1_1648711
2	2282	1_1562478	1_1648711
3	2283	1_1709350	1_1754869
3	2284	1_1709350	1_1815963
3	2285	1_1709350	1_1817765
3	353	1_1709350	1_1820953
3	2286	1_1709350	1_1830464
3	2287	1_1709350	1_1832735
4	2288	1_23749480	1_23965714
4	2289	1_23749480	1_23999973
5	2290	1_27188039	1_26796595
5	2291	1_27188039	1_26832394
5	2292	1_27188039	1_26837837
5	2293	1_27188039	1_26851159
5	2294	1_27188039	1_26855141
5	2295	1_27188039	1_26864508
5	369	1_27188039	1_26877973
5	2296	1_27188039	1_26882599
5	2297	1_27188039	1_26886241
5	2298	1_27188039	1_26899806
5	2299	1_27188039	1_26905279
5	2300	1_27188039	1_26905772
5	2301	1_27188039	1_26909598
5	2302	1_27188039	1_26917128
5	2303	1_27188039	1_26918958
5	2304	1_27188039	1_26920884
5	2305	1_27188039	1_26921655
5	2306	1_27188039	1_26928977
5	2307	1_27188039	1_26930359
5	2308	1_27188039	1_26933766
5	2309	1_27188039	1_26940701
5	2310	1_27188039	1_26941065
5	2311	1_27188039	1_26946472
5	2312	1_27188039	1_27015624
5	2313	1_27188039	1_27121035
5	2314	1_27188039	1_27176993
5	2315	1_27188039	7_18339705
6	2316	1_27285400	1_26370521
6	2317	1_27285400	1_26386211
6	2318	1_27285400	1_26495199
6	366	1_27285400	1_26677864
6	2290	1_27285400	1_26796595
6	2294	1_27285400	1_26855141
6	2319	1_27285400	1_27222428
6	2320	1_27285400	1_27559582
6	2321	1_27285400	1_27634193
6	2322	1_27285400	1_27643559
6	2323	1_27285400	1_28150276
6	2324	1_27285400	1_28160590
7	2325	1_27680897	1_27365645
7	2326	1_27680897	1_27367825
7	2327	1_27680897	1_27371305
7	2328	1_27680897	1_27384173
7	2329	1_27680897	1_27618271
7	2330	1_27680897	1_27633894
7	2321	1_27680897	1_27634193
7	372	1_27680897	1_27928426
7	2331	1_27680897	1_27931674
7	2332	1_27680897	1_27945530
7	2333	1_27680897	1_27984081
7	373	1_27680897	1_27992231
8	2334	1_33201417	1_32858718
8	374	1_33201417	1_32860268
8	2335	1_33201417	1_32957186
8	2336	1_33201417	1_32985318
8	2337	1_33201417	1_32999234
8	2338	1_33201417	1_33000337
8	2339	1_33201417	1_33228047
8	2340	1_33201417	1_33229833
9	2341	1_36037223	1_35623840
9	2342	1_36037223	1_35637278
9	2343	1_36037223	1_35645699
9	2344	1_36037223	1_35798578
9	2345	1_36037223	1_35897332
9	2346	1_36037223	1_35900825
9	2347	1_36037223	1_35905916
9	2348	1_36037223	1_35908092
9	2349	1_36037223	1_35910861
9	2350	1_36037223	1_35911450
9	2351	1_36037223	1_35912765
9	2352	1_36037223	1_35913031
9	2353	1_36037223	1_35914106
9	2354	1_36037223	1_35921522
9	2355	1_36037223	1_35922567
9	2356	1_36037223	1_35923193
9	2357	1_36037223	1_35924178
9	2358	1_36037223	1_36103205
9	2359	1_36037223	1_36105818
9	2360	1_36037223	1_36107936
9	2361	1_36037223	1_36164694
9	2362	1_36037223	1_36174199
9	2363	1_36037223	1_36180159
9	377	1_36037223	1_36183603
9	2364	1_36037223	1_36185604
9	2365	1_36037223	1_36187544
9	2366	1_36037223	1_36190741
9	2367	1_36037223	1_36191705
9	2368	1_36037223	1_36192289
9	2369	1_36037223	1_36193676
9	2370	1_36037223	1_36200530
9	378	1_36037223	1_36203489
9	2371	1_36037223	1_36211265
9	2372	1_36037223	1_36212339
9	2373	1_36037223	1_36212554
9	2374	1_36037223	1_36213850
9	2375	1_36037223	1_36217098
9	2376	1_36037223	1_36220792
9	2377	1_36037223	1_36240935
9	2378	1_36037223	1_36248841
9	2379	1_36037223	1_36252168
9	2380	1_36037223	1_36253927
9	2381	1_36037223	1_36277869
10	2382	1_39542466	1_38541859
10	2383	1_39542466	1_39311623
10	2384	1_39542466	1_39317409
10	2385	1_39542466	1_39320049
10	2386	1_39542466	1_39322066
10	381	1_39542466	1_39323109
10	2387	1_39542466	1_39328056
10	2388	1_39542466	1_39328372
10	2389	1_39542466	1_39330963
10	2390	1_39542466	1_39337493
10	2391	1_39542466	1_39338079
10	2392	1_39542466	1_39346976
10	2393	1_39542466	1_39364743
10	2394	1_39542466	1_39471522
10	2395	1_39542466	1_39716905
10	382	1_39542466	1_39720568
10	2396	1_39542466	1_39728605
10	2397	1_39542466	1_39748146
10	2398	1_39542466	1_39784372
10	2399	1_39542466	1_39843785
10	2400	1_39542466	1_39892364
10	2401	1_39542466	1_39906537
10	2402	1_39542466	1_39913713
10	2403	1_39542466	1_39933500
10	2404	1_39542466	1_39999794
10	2405	1_39542466	1_40004971
10	2406	1_39542466	1_40008581
11	2407	1_53790262	1_54299808
12	2408	1_54141109	1_53915948
12	2409	1_54141109	1_53918276
12	2410	1_54141109	1_53920283
12	2411	1_54141109	1_53926391
12	2412	1_54141109	1_53928781
12	2413	1_54141109	1_53931183
12	2414	1_54141109	1_53939215
12	2415	1_54141109	1_53944068
12	2416	1_54141109	1_53945802
12	2417	1_54141109	1_53950183
12	2418	1_54141109	1_53952330
12	2419	1_54141109	1_53952988
12	2420	1_54141109	1_53959862
12	2421	1_54141109	1_54160046
12	2422	1_54141109	1_55308006
13	2423	1_68296855	1_67985378
13	2424	1_68296855	1_67992168
13	2425	1_68296855	1_67994175
13	2426	1_68296855	1_67994928
13	2427	1_68296855	1_68001174
13	2428	1_68296855	1_68001423
13	2429	1_68296855	1_68003123
13	2430	1_68296855	1_68005153
13	417	1_68296855	1_68006279
13	2431	1_68296855	1_68007626
13	2432	1_68296855	1_68009646
13	2433	1_68296855	1_68010605
13	2434	1_68296855	1_68017590
13	2435	1_68296855	1_68148483
13	2436	1_68296855	1_68233633
13	418	1_68296855	1_68235398
13	2437	1_68296855	1_68242600
13	2438	1_68296855	1_68248496
13	2439	1_68296855	1_68259432
13	2440	1_68296855	1_68475675
13	2441	1_68296855	1_68574976
13	2442	1_68296855	1_68580673
13	2443	1_68296855	1_68785068
13	2444	1_68296855	1_68796875
13	2445	1_68296855	1_68806246
13	2446	1_68296855	1_68806435
13	2447	1_68296855	1_68808710
13	2448	1_68296855	1_68832084
13	2449	1_68296855	1_68839817
13	2450	1_68296855	1_68843396
13	2451	1_68296855	1_68844221
13	2452	1_68296855	1_68848589
13	2453	1_68296855	1_68848814
13	2454	1_68296855	1_68883485
13	2455	1_68296855	1_68893629
13	2456	1_68296855	1_68907162
13	2457	1_68296855	1_68908855
13	2458	1_68296855	1_68911549
13	2459	1_68296855	1_70162510
13	2460	1_68296855	1_70171027
13	2461	1_68296855	1_70187680
13	2462	1_68296855	1_70190710
13	2463	1_68296855	1_70195218
13	2464	1_68296855	1_70198980
13	2465	1_68296855	1_70201445
13	2466	1_68296855	1_70215119
14	2467	1_99467264	1_99199944
14	2468	1_99467264	1_99207438
14	2469	1_99467264	1_99211196
14	2470	1_99467264	1_99214583
14	2471	1_99467264	1_99232010
14	2472	1_99467264	1_99237768
14	2473	1_99467264	1_99245867
14	2474	1_99467264	1_99246072
14	2475	1_99467264	1_99254779
14	2476	1_99467264	1_99259125
14	2477	1_99467264	1_99277170
14	2478	1_99467264	1_99278291
14	2479	1_99467264	1_99281139
14	2480	1_99467264	1_99291272
14	2481	1_99467264	1_99294397
14	2482	1_99467264	1_99969760
14	2483	1_99467264	1_100147676
14	2484	1_99467264	1_100194901
15	2485	1_117109278	1_116513092
15	2486	1_117109278	1_116520636
15	2487	1_117109278	1_116665959
15	2488	1_117109278	1_116673456
15	2489	1_117109278	1_116678389
15	2490	1_117109278	1_116709625
15	2491	1_117109278	1_116716443
15	2492	1_117109278	1_116910124
15	426	1_117109278	1_116914319
15	2493	1_117109278	1_116919804
15	2494	1_117109278	1_117207585
15	429	1_117109278	1_117212042
15	2495	1_117109278	1_117217407
15	2496	1_117109278	1_117219517
15	2497	1_117109278	1_117220896
15	2498	1_117109278	1_117244198
15	2499	1_117109278	1_117257258
15	2500	1_117109278	1_117259997
15	2501	1_117109278	1_117266498
15	2502	1_117109278	1_117269244
15	2503	1_117109278	1_117272889
15	2504	1_117109278	1_117277843
15	2505	1_117109278	1_117286045
15	2506	1_117109278	1_117287620
15	2507	1_117109278	1_117347278
15	2508	1_117109278	1_117348993
15	2509	1_117109278	1_117350388
15	2510	1_117109278	1_117353522
15	2511	1_117109278	1_117356852
15	2512	1_117109278	1_117369690
15	2513	1_117109278	1_117371750
15	2514	1_117109278	1_117384864
15	2515	1_117109278	1_117385018
15	2516	1_117109278	1_117385904
15	2517	1_117109278	1_117415238
15	2518	1_117109278	1_117420725
15	2519	1_117109278	1_117424888
15	2520	1_117109278	1_117425995
15	2521	1_117109278	1_117428564
15	2522	1_117109278	1_117430481
15	2523	1_117109278	1_117432031
15	2524	1_117109278	1_117443727
15	430	1_117109278	1_117446540
15	431	1_117109278	1_117450148
15	2525	1_117109278	1_117471398
15	2526	1_117109278	1_117472157
15	2527	1_117109278	1_117490358
15	2528	1_117109278	1_117490904
15	2529	1_117109278	1_117519246
15	2530	1_117109278	1_117540375
15	432	1_117109278	1_117542531
15	2531	1_117109278	1_117544806
15	2532	1_117109278	1_117546488
15	2533	1_117109278	1_117547158
15	2534	1_117109278	1_117547327
15	2535	1_117109278	1_117550553
15	2536	1_117109278	1_117553620
15	2537	1_117109278	1_117568386
15	2538	1_117109278	1_117577736
15	2539	1_117109278	1_117578657
15	2540	1_117109278	1_117583613
15	2541	1_117109278	1_117594172
15	433	1_117109278	1_117600462
15	434	1_117109278	1_117602664
15	2542	1_117109278	1_117607114
15	2543	1_117109278	1_117609860
15	2544	1_117109278	1_117616220
15	2545	1_117109278	1_117617047
15	2546	1_117109278	1_117623430
15	2547	1_117109278	1_117628479
15	2548	1_117109278	1_117633194
15	2549	1_117109278	1_117635679
15	2550	1_117109278	1_117635856
15	2551	1_117109278	1_117637164
15	2552	1_117109278	1_117639494
15	2553	1_117109278	1_117641476
15	2554	1_117109278	1_117644458
15	2555	1_117109278	1_117650060
15	2556	1_117109278	1_117656513
15	2557	1_117109278	1_117658710
15	435	1_117109278	1_117662394
15	2558	1_117109278	1_117665617
15	2559	1_117109278	1_117666035
15	2560	1_117109278	1_117667899
15	2561	1_117109278	1_117677760
15	2562	1_117109278	2_91933846
16	2563	1_145472456	1_144990022
16	2564	1_145472456	1_145000515
16	2565	1_145472456	1_145001023
16	2566	1_145472456	1_145003521
16	2567	1_145472456	1_145043515
16	2568	1_145472456	1_145097412
16	2569	1_145472456	1_145115011
16	2570	1_145472456	1_145382331
16	2571	1_145472456	1_145383206
16	2572	1_145472456	1_145396079
16	2573	1_145472456	1_145401065
16	2574	1_145472456	1_145401253
16	2575	1_145472456	1_145410652
16	437	1_145472456	1_145411681
16	2576	1_145472456	1_145413460
16	2577	1_145472456	1_145426146
16	438	1_145472456	1_145427517
16	2578	1_145472456	1_145441090
16	2579	1_145472456	1_145448531
16	439	1_145472456	1_145451473
