from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	2374	1_831895	1_850619
1	9841	1_831895	1_874082
1	3	1_831895	1_889424
1	2375	1_831895	1_903641
1	2379	1_831895	1_1206874
1	2380	1_831895	1_1239426
2	3	1_848169	1_889424
2	2379	1_848169	1_1206874
3	2	1_889424	1_848169
3	2379	1_889424	1_1206874
3	9842	1_889424	1_1305519
3	9843	1_889424	1_1426922
4	2375	1_943677	1_903641
4	2379	1_943677	1_1206874
4	2380	1_943677	1_1239426
4	9842	1_943677	1_1305519
4	2382	1_943677	1_1309969
4	12	1_943677	1_1364314
5	2	1_1049052	1_848169
5	2374	1_1049052	1_850619
5	3	1_1049052	1_889424
5	2375	1_1049052	1_903641
5	6	1_1049052	1_1096739
5	2378	1_1049052	1_1107116
5	7	1_1049052	1_1109733
5	2379	1_1049052	1_1206874
5	2380	1_1049052	1_1239426
5	2381	1_1049052	1_1283837
5	2382	1_1049052	1_1309969
5	12	1_1049052	1_1364314
5	9844	1_1049052	1_1545983
5	2385	1_1049052	1_1648711
6	2374	1_1096739	1_850619
6	9845	1_1096739	1_1062660
6	9846	1_1096739	1_1064245
6	9847	1_1096739	1_1069046
6	9848	1_1096739	1_1083959
6	9849	1_1096739	1_1091235
6	7	1_1096739	1_1109733
6	9850	1_1096739	1_1150970
6	2379	1_1096739	1_1206874
7	2374	1_1109733	1_850619
7	9851	1_1109733	1_974401
7	9852	1_1109733	1_1048248
7	9845	1_1109733	1_1062660
7	9846	1_1109733	1_1064245
7	9847	1_1109733	1_1069046
7	9848	1_1109733	1_1083959
7	9849	1_1109733	1_1091235
7	9853	1_1109733	1_1092013
7	6	1_1109733	1_1096739
7	9850	1_1109733	1_1150970
7	2379	1_1109733	1_1206874
7	9854	1_1109733	1_1220555
7	9855	1_1109733	1_1278100
7	9842	1_1109733	1_1305519
8	2	1_1126526	1_848169
8	2374	1_1126526	1_850619
8	3	1_1126526	1_889424
8	2375	1_1126526	1_903641
8	6	1_1126526	1_1096739
8	2378	1_1126526	1_1107116
8	7	1_1126526	1_1109733
8	2379	1_1126526	1_1206874
8	2380	1_1126526	1_1239426
8	2381	1_1126526	1_1283837
8	2382	1_1126526	1_1309969
8	12	1_1126526	1_1364314
8	9856	1_1126526	1_2420090
9	2374	1_1160798	1_850619
9	2375	1_1160798	1_903641
9	2376	1_1160798	1_927395
9	9852	1_1160798	1_1048248
9	9845	1_1160798	1_1062660
9	9846	1_1160798	1_1064245
9	2380	1_1160798	1_1239426
9	2382	1_1160798	1_1309969
10	2374	1_1212439	1_850619
10	3	1_1212439	1_889424
10	2375	1_1212439	1_903641
10	9845	1_1212439	1_1062660
10	6	1_1212439	1_1096739
10	2378	1_1212439	1_1107116
10	7	1_1212439	1_1109733
10	2380	1_1212439	1_1239426
11	2374	1_1313316	1_850619
11	2375	1_1313316	1_903641
11	2379	1_1313316	1_1206874
11	12	1_1313316	1_1364314
11	9857	1_1313316	1_2450976
12	9851	1_1364314	1_974401
12	9852	1_1364314	1_1048248
12	9846	1_1364314	1_1064245
12	9842	1_1364314	1_1305519
12	2382	1_1364314	1_1309969
12	9843	1_1364314	1_1426922
12	9858	1_1364314	1_1442647
12	9859	1_1364314	1_1482324
12	9860	1_1364314	1_1492823
12	9861	1_1364314	1_1518948
12	9862	1_1364314	1_1647157
13	2374	1_1373174	1_850619
13	2375	1_1373174	1_903641
13	2382	1_1373174	1_1309969
13	9856	1_1373174	1_2420090
14	2382	1_1398654	1_1309969
14	2385	1_1398654	1_1648711
15	2385	1_1562478	1_1648711
16	9863	1_1709350	1_1754869
16	9864	1_1709350	1_1815963
16	9865	1_1709350	1_1817765
16	2386	1_1709350	1_1820953
16	9866	1_1709350	1_1830464
16	9867	1_1709350	1_1832735
17	9868	1_1842635	1_1695714
17	9869	1_1842635	1_1980724
17	9870	1_1842635	1_2048007
17	9871	1_1842635	1_2049070
17	9872	1_1842635	1_2065848
17	9873	1_1842635	1_2087863
17	9874	1_1842635	1_2123846
17	9875	1_1842635	1_2126598
18	9876	1_2104999	1_2308195
18	2388	1_2104999	1_2319572
18	9877	1_2104999	1_2324378
18	9878	1_2104999	1_2327551
18	9879	1_2104999	1_2327925
18	9880	1_2104999	1_2333188
18	20	1_2104999	1_2335725
18	9856	1_2104999	1_2420090
18	9857	1_2104999	1_2450976
18	2390	1_2104999	1_2514865
19	9875	1_2155766	1_2126598
19	9881	1_2155766	1_2198637
19	9882	1_2155766	1_2203699
19	9883	1_2155766	1_2227416
19	9884	1_2155766	1_2233705
19	9885	1_2155766	1_2235148
19	9886	1_2155766	1_2239529
19	9887	1_2155766	1_2240097
19	9888	1_2155766	1_2242544
19	9889	1_2155766	1_2283074
19	9890	1_2155766	1_2288245
19	9876	1_2155766	1_2308195
19	2388	1_2155766	1_2319572
19	9877	1_2155766	1_2324378
19	9878	1_2155766	1_2327551
19	9879	1_2155766	1_2327925
