"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","AveExpr","Gene_log2_P.value"
"1","ABCB10","1_229692817","NA",0.533480697739419,0.0162774930342381,19.767208321761,5.94097766864578
"2","ABCB6","2_220077689","NA",-0.915040995658139,0.125760327486562,2.42516530070966,2.99125121531892
"3","ABCB7","X_74371809","DOWN",-0.10750148622768,0.503945338913414,15.6821268539729,0.988660836470067
"4","ABCB7","X_74371809","DOWN",-0.10750148622768,0.503945338913414,15.6821268539729,0.988660836470067
"5","ABCC9","12_22090571","DOWN",0.483686593372796,0.637032047612455,0.452642016842233,0.650562141921399
"6","ABCD3","1_94876094","NA",-0.299018600406538,0.231062776489071,15.6887818666798,2.11364323014896
"7","ABCG2","4_89150699","NA",-2.1053608159301,0.0293785456206466,1.00238147021145,5.08909321245834
"8","ABHD14A","3_52002602","NA",0.218375033757546,0.537432894737426,4.93575940513574,0.895843467577649
"9","ABHD14A-ACY1","3_52002602","NA",0.170592418523132,0.692296829976545,0.526887563234583,0.53053735281043
"10","ABHD14B","3_52002602","NA",0.372617812689191,0.0891351590183357,21.03390695527,3.48786158029253
"11","ABHD16A","6_31661602","NA",0.0261181238333106,0.853214890072445,6.64534239404977,0.229018951470684
"12","ABHD16A","6_31643317","NA",0.0261181238333106,0.853214890072445,6.64534239404977,0.229018951470684
"13","ABHD16B","20_62486746","NA",-0.145031481545041,0.193567212282482,0.0525008858977302,2.36909349497869
"14","ABR","17_1075669","UP",0.887566667951137,0.0347623259436122,33.3619170944777,4.84633157381775
"15","ABT1","6_26593067","NA",-0.0756293081370902,0.586130627049307,9.65364471588062,0.770705870521711
"16","ABTB2","11_34376256","NA",0.503138931538335,0.262969434329181,7.09438612157749,1.92703297409362
"17","AC002472.13","22_21399681","NA",0,1,0,0
"18","AC003002.4","19_57874301","NA",0,1,0,0
"19","AC003002.6","19_57900763","NA",0,1,0,0
"20","AC003005.2","19_57988589","NA",0,1,0,0
"21","AC003104.1","17_40422306","NA",0,1,0,0
"22","AC003665.1","17_46017787","NA",0,1,0,0
"23","AC003681.1","22_30333134","NA",0,1,0,0
"24","AC003682.16","19_58133460","NA",0,1,0,0
"25","AC003958.2","17_39556895","NA",0,1,0,0
"26","AC004076.7","19_57900763","NA",0,1,0,0
"27","AC004076.9","19_57963294","NA",0,1,0,0
"28","AC004076.9","19_57988589","NA",0,1,0,0
"29","AC004492.1","7_106932849","NA",0,1,0,0
"30","AC004540.4","7_26414940","NA",0,1,0,0
"31","AC005037.1","2_201697328","NA",0,1,0,0
"32","AC005037.2","2_201697328","NA",0,1,0,0
"33","AC005154.6","7_30632312","NA",0,1,0,0
"34","AC005154.6","7_30621402","NA",0,1,0,0
"35","AC005498.3","19_57042433","NA",0,1,0,0
"36","AC005498.4","19_57042433","NA",0,1,0,0
"37","AC005538.5","2_234863824","NA",0,1,0,0
"38","AC005609.1","5_140227249","DOWN",0,1,0,0
"39","AC005740.5","5_141358041","NA",0,1,0,0
"40","AC005754.7","5_140473932","DOWN",0,1,0,0
"41","AC005754.7","5_140473932","DOWN",0,1,0,0
"42","AC005754.7","5_140473932","DOWN",0,1,0,0
"43","AC005754.7","5_140473932","DOWN",0,1,0,0
"44","AC006116.1","19_56901262","NA",0,1,0,0
"45","AC006372.1","7_157310478","NA",0,1,0,0
"46","AC006377.1","7_31830858","NA",0,1,0,0
"47","AC006460.2","2_191569644","NA",0,1,0,0
"48","AC006994.2","2_211030130","DOWN",0,1,0,0
"49","AC006994.3","2_211030130","DOWN",0,1,0,0
"50","AC007038.7","2_210893932","NA",0,1,0,0
"51","AC007056.1","14_78856357","DOWN",0,1,0,0
"52","AC007099.2","2_75699717","NA",0,1,0,0
"53","AC007163.6","2_201674570","NA",0,1,0,0
"54","AC007228.11","19_57074833","NA",0,1,0,0
"55","AC007362.3","2_206624678","DOWN",0,1,0,0
"56","AC007375.1","14_77602082","DOWN",0,1,0,0
"57","AC007383.3","2_206947984","NA",0,1,0,0
"58","AC007383.4","2_206976307","NA",0,1,0,0
"59","AC007405.8","2_171664227","NA",0,1,0,0
"60","AC007879.5","2_208392966","NA",0,1,0,0
"61","AC008045.1","14_79082516","NA",0,1,0,0
"62","AC008060.5","7_155301716","NA",0,1,0,0
"63","AC008060.8","7_155247684","NA",0,1,0,0
"64","AC008063.2","2_162928826","DOWN",0,1,0,0
"65","AC008694.3","5_157112085","NA",0,1,0,0
"66","AC008706.1","5_159554921","NA",0,1,0,0
"67","AC008937.2","5_56154298","NA",0,1,0,0
"68","AC008949.1","5_32378290","NA",0,1,0,0
"69","AC008984.5","19_54796810","NA",0,1,0,0
"70","AC008984.7","19_54796810","NA",0,1,0,0
"71","AC009120.4","16_74330045","NA",0,1,0,0
"72","AC009299.2","2_162108416","NA",0,1,0,0
"73","AC009303.1","2_118749134","NA",0,1,0,0
"74","AC009336.1","2_176969047","NA",0,1,0,0
"75","AC009487.4","2_162278434","NA",0,1,0,0
"76","AC009487.5","2_162278434","NA",0,1,0,0
"77","AC009501.4","2_63274196","NA",0,1,0,0
"78","AC010368.1","5_35034176","NA",0,1,0,0
"79","AC010368.2","5_35043586","NA",0,1,0,0
"80","AC010492.4","19_54738657","NA",0,1,0,0
"81","AC010518.3","19_54796810","NA",0,1,0,0
"82","AC010609.1","5_156654508","NA",0,1,0,0
"83","AC010731.3","2_207503231","NA",0,1,0,0
"84","AC010731.4","2_207503231","NA",0,1,0,0
"85","AC010761.14","17_27049991","NA",0,1,0,0
"86","AC010761.8","17_27048612","NA",0,1,0,0
"87","AC010883.5","2_43455071","NA",0,1,0,0
"88","AC011247.3","2_38824491","NA",0,1,0,0
"89","AC011453.1","19_54193551","DOWN",0,1,0,0
"90","AC011465.1","19_38543471","NA",0,1,0,0
"91","AC011475.1","19_10733589","NA",0,1,0,0
"92","AC011523.2","19_51319574","NA",0,1,0,0
"93","AC011747.7","2_8821099","NA",0,1,0,0
"94","AC011893.3","2_136566352","NA",0,1,0,0
"95","AC011897.1","2_14769545","DOWN",0,1,0,0
"96","AC012150.1","12_29271096","NA",0,1,0,0
"97","AC012314.20","19_54703387","NA",0,1,0,0
"98","AC012362.3","2_209222656","UP",0,1,0,0
"99","AC012362.3","2_209222656","UP",0,1,0,0
"100","AC012363.4","2_120972997","NA",0,1,0,0
"101","AC012531.23","12_54347781","NA",0,1,0,0
"102","AC012531.25","12_54410340","NA",0,1,0,0
"103","AC013264.2","2_198059736","NA",0,1,0,0
"104","AC013468.1","2_190640564","NA",0,1,0,0
"105","AC016292.1","17_1075669","UP",0,1,0,0
