"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","BP","GO:0003002","regionalization","19/228","351/18670",6.76076577249766e-08,6.76076577249766e-08,0.000182184846079937,"HES2/FGF10/GLI2/SEMA3A/HOXA9/HOXB6/ACVR1/HOXB5/HOXB3/GATA5/LMX1B/BMPR1B/HOXB2/ATP6AP2/HOXB4/WNT7B/HES4/HOXA10/HOXB7",19
"GO:0007389","BP","GO:0007389","pattern specification process","21/228","446/18670",1.43913122568261e-07,1.43913122568261e-07,0.000193903996723552,"HES2/FGF10/GLI2/SEMA3A/HOXA9/HOXB6/ACVR1/HOXB5/HOXB3/GATA5/LMX1B/BMPR1B/CCDC40/HOXB2/ATP6AP2/HOXB4/WNT7B/HES4/CCDC151/HOXA10/HOXB7",21
"GO:0010952","BP","GO:0010952","positive regulation of peptidase activity","12/228","197/18670",5.73401576391554e-06,5.73401576391554e-06,0.00515055451074519,"BCL2L13/VSIR/APAF1/HIP1/AKIRIN2/CIDEB/TANK/CASP1/CASP5/BCL2L11/GRIN1/MAP3K5",12
"GO:0010950","BP","GO:0010950","positive regulation of endopeptidase activity","11/228","178/18670",1.23291852983744e-05,1.23291852983744e-05,0.00830597746416803,"BCL2L13/VSIR/APAF1/HIP1/AKIRIN2/CIDEB/CASP1/CASP5/BCL2L11/GRIN1/MAP3K5",11
"GO:0009952","BP","GO:0009952","anterior/posterior pattern specification","12/228","219/18670",1.67199528498612e-05,1.67199528498612e-05,0.00901117458855679,"HES2/GLI2/HOXA9/HOXB6/HOXB5/HOXB3/HOXB2/ATP6AP2/HOXB4/HES4/HOXA10/HOXB7",12
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","15/228","358/18670",3.62419095079597e-05,3.62419095079597e-05,0.0152285004282895,"BCL2L13/VSIR/CTSC/APAF1/CLU/HIP1/AKIRIN2/CIDEB/TANK/CASP1/CASP5/BCL2L11/NUPR1/GRIN1/MAP3K5",15
"GO:2000116","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","12/228","239/18670",3.9558409315674e-05,3.9558409315674e-05,0.0152285004282895,"BCL2L13/APAF1/HIP1/CIDEB/CASP1/CASP5/WNT9A/BCL2L11/CAST/GRIN1/MAP3K5/CARD16",12
"GO:0048536","BP","GO:0048536","spleen development","5/228","33/18670",4.66772402167623e-05,4.66772402167623e-05,0.0157228598624884,"FGF10/NKX2-3/CDKN2B/BCL2L11/HOXB4",5
"GO:2001056","BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","9/228","149/18670",9.16087367001045e-05,9.16087367001045e-05,0.027429048649388,"BCL2L13/APAF1/HIP1/CIDEB/CASP1/CASP5/BCL2L11/GRIN1/MAP3K5",9
"GO:0048704","BP","GO:0048704","embryonic skeletal system morphogenesis","7/228","93/18670",0.000143640309200682,0.000143640309200682,0.0332052272705487,"HOXB6/HOXB5/HOXB3/WNT9A/HOXB2/HOXB4/HOXB7",7
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","16/228","452/18670",0.000145871169143502,0.000145871169143502,0.0332052272705487,"BCL2L13/VSIR/APAF1/HIP1/AKIRIN2/CIDEB/TANK/PI15/CASP1/CASP5/WNT9A/BCL2L11/CAST/GRIN1/MAP3K5/CARD16",16
"GO:0048706","BP","GO:0048706","embryonic skeletal system development","8/228","126/18670",0.000159651151764516,0.000159651151764516,0.0332052272705487,"HOXA9/HOXB6/HOXB5/HOXB3/WNT9A/HOXB2/HOXB4/HOXB7",8
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","11/228","236/18670",0.000160189279996592,0.000160189279996592,0.0332052272705487,"TIGAR/CD86/KMO/APAF1/CD80/CD36/CASP1/BCL2L11/NOD2/CARD16/MRC1",11
"GO:0048562","BP","GO:0048562","embryonic organ morphogenesis","12/228","288/18670",0.000230804345187099,0.000230804345187099,0.0409228083223574,"FGF10/GLI2/HOXB6/ACVR1/HOXB5/HOXB3/MYO7A/CCDC40/WNT9A/HOXB2/HOXB4/HOXB7",12
"GO:0071377","BP","GO:0071377","cellular response to glucagon stimulus","4/228","26/18670",0.000262205161983803,0.000262205161983803,0.0409228083223574,"PRKAR2B/ADCY2/GLP1R/GCGR",4
"GO:0021561","BP","GO:0021561","facial nerve development","3/228","11/18670",0.000275868353458765,0.000275868353458765,0.0409228083223574,"SEMA3A/HOXB2/PLXNA4",3
"GO:0021604","BP","GO:0021604","cranial nerve structural organization","3/228","11/18670",0.000275868353458765,0.000275868353458765,0.0409228083223574,"SEMA3A/HOXB2/PLXNA4",3
"GO:0021610","BP","GO:0021610","facial nerve morphogenesis","3/228","11/18670",0.000275868353458765,0.000275868353458765,0.0409228083223574,"SEMA3A/HOXB2/PLXNA4",3
"GO:0019935","BP","GO:0019935","cyclic-nucleotide-mediated signaling","10/228","212/18670",0.000288537769616622,0.000288537769616622,0.0409228083223574,"PRKAR2B/PTGER3/ADCY2/AHR/GLP1R/PTGFR/CD36/ADRB2/ADGRE1/GCGR",10
"GO:0009886","BP","GO:0009886","post-embryonic animal morphogenesis","3/228","12/18670",0.000364514499129703,0.000364514499129703,0.0479234644956663,"NKX2-3/MYO7A/BCL2L11",3
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","10/228","219/18670",0.000373466061206462,0.000373466061206462,0.0479234644956663,"ULBP1/CD86/IL1R1/CD80/ULBP3/ANXA1/CD36/ITGB2/TNFSF13/NOD2",10
"GO:0021602","BP","GO:0021602","cranial nerve morphogenesis","4/228","29/18670",0.000404781595148091,0.000404781595148091,0.0493647848247818,"SEMA3A/HOXB3/HOXB2/PLXNA4",4
"GO:0060100","BP","GO:0060100","positive regulation of phagocytosis, engulfment","3/228","13/18670",0.000469607075171233,0.000469607075171233,0.0493647848247818,"CD36/ITGA2/ANO6",3
"GO:1905155","BP","GO:1905155","positive regulation of membrane invagination","3/228","13/18670",0.000469607075171233,0.000469607075171233,0.0493647848247818,"CD36/ITGA2/ANO6",3
"GO:0035107","BP","GO:0035107","appendage morphogenesis","8/228","148/18670",0.000476293041082856,0.000476293041082856,0.0493647848247818,"FGF10/GLI2/HOXA9/IQCE/BMPR1B/WNT9A/BCL2L11/HOXA10",8
"GO:0035108","BP","GO:0035108","limb morphogenesis","8/228","148/18670",0.000476293041082856,0.000476293041082856,0.0493647848247818,"FGF10/GLI2/HOXA9/IQCE/BMPR1B/WNT9A/BCL2L11/HOXA10",8
"GO:0009954","BP","GO:0009954","proximal/distal pattern formation","4/228","31/18670",0.000526098626427696,0.000526098626427696,0.0525073093042847,"FGF10/GLI2/HOXA9/HOXA10",4
"GO:0060099","BP","GO:0060099","regulation of phagocytosis, engulfment","3/228","15/18670",0.000733735967101388,0.000733735967101388,0.0706151908187802,"CD36/ITGA2/ANO6",3
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","14/228","425/18670",0.000768526530142745,0.000768526530142745,0.0714129915486543,"BCL2L13/VSIR/APAF1/HIP1/AKIRIN2/CIDEB/CASP1/CASP5/WNT9A/BCL2L11/CAST/GRIN1/MAP3K5/CARD16",14
"GO:1905153","BP","GO:1905153","regulation of membrane invagination","3/228","16/18670",0.000894952099915958,0.000894952099915958,0.0744145889836997,"CD36/ITGA2/ANO6",3
"GO:0007596","BP","GO:0007596","blood coagulation","12/228","336/18670",0.000910770625478037,0.000910770625478037,0.0744145889836997,"PRKAR2B/ENTPD2/HPS5/VWF/PLEK/F13A1/GATA5/CD36/DOCK1/ITGA2/C1GALT1C1/ANO6",12
"GO:0033762","BP","GO:0033762","response to glucagon","4/228","36/18670",0.00093901249988924,0.00093901249988924,0.0744145889836997,"PRKAR2B/ADCY2/GLP1R/GCGR",4
"GO:1901216","BP","GO:1901216","positive regulation of neuron death","6/228","94/18670",0.00103393028116134,0.00103393028116134,0.0744145889836997,"KMO/CLU/BCL2L11/ITGB2/NUPR1/MAP3K5",6
"GO:0007599","BP","GO:0007599","hemostasis","12/228","341/18670",0.00103419680743614,0.00103419680743614,0.0744145889836997,"PRKAR2B/ENTPD2/HPS5/VWF/PLEK/F13A1/GATA5/CD36/DOCK1/ITGA2/C1GALT1C1/ANO6",12
"GO:0048846","BP","GO:0048846","axon extension involved in axon guidance","4/228","37/18670",0.00104284558228521,0.00104284558228521,0.0744145889836997,"SEMA3A/SEMA5A/ALCAM/PLXNA4",4
"GO:1902284","BP","GO:1902284","neuron projection extension involved in neuron projection guidance","4/228","37/18670",0.00104284558228521,0.00104284558228521,0.0744145889836997,"SEMA3A/SEMA5A/ALCAM/PLXNA4",4
"GO:0050817","BP","GO:0050817","coagulation","12/228","342/18670",0.00106048076892189,0.00106048076892189,0.0744145889836997,"PRKAR2B/ENTPD2/HPS5/VWF/PLEK/F13A1/GATA5/CD36/DOCK1/ITGA2/C1GALT1C1/ANO6",12
"GO:0021783","BP","GO:0021783","preganglionic parasympathetic fiber development","3/228","17/18670",0.00107697676634612,0.00107697676634612,0.0744145889836997,"SEMA3A/HOXB2/PLXNA4",3
"GO:0048532","BP","GO:0048532","anatomical structure arrangement","3/228","17/18670",0.00107697676634612,0.00107697676634612,0.0744145889836997,"SEMA3A/HOXB2/PLXNA4",3
"GO:0043280","BP","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","7/228","132/18670",0.00119741294693875,0.00119741294693875,0.0806678195832419,"BCL2L13/APAF1/HIP1/CASP1/CASP5/BCL2L11/MAP3K5",7
"GO:0030501","BP","GO:0030501","positive regulation of bone mineralization","4/228","39/18670",0.00127423012450766,0.00127423012450766,0.0837491429714922,"ACVR1/BMPR1B/ADRB2/ANO6",4
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","9/228","215/18670",0.0013435948269556,0.0013435948269556,0.0862055828823641,"BCL2L13/APAF1/HIP1/CASP1/CASP5/WNT9A/BCL2L11/MAP3K5/CARD16",9
"GO:0022600","BP","GO:0022600","digestive system process","6/228","100/18670",0.0014249642530937,0.0014249642530937,0.0893000853835955,"TYMP/PTGER3/FGF10/SNX10/CD36/NOD2",6
