"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","AveExpr","Gene_log2_P.value"
"1","AAAS","12_53718188","NA",-0.0709520155834129,0.65277142058658,17.3177367888949,0.615350199772482
"2","AAMP","2_219134749","NA",-0.0134552958090826,0.925153523649296,17.1589847814136,0.112235302848468
"3","AATF","17_35302066","NA",-0.0500283690852523,0.718354932356549,19.7001890903336,0.477231252749871
"4","ABCA10","17_67240575","NA",-0.113762767346716,0.806845272067992,1.50524177918659,0.309636059082781
"5","ABCA2","9_139920814","NA",0.0887630148477099,0.826156335179233,39.8212801358107,0.275513283404404
"6","ABCA5","17_67240575","NA",-0.0324761892604237,0.953461519145587,7.79878909274121,0.0687533810563119
"7","ABCA9","17_67053971","DOWN",0.0779473098517063,0.906096294779152,1.95867952081342,0.142263715015348
"8","ABCB9","12_123455277","NA",0.0147874977058815,0.958722603418894,4.43706516586751,0.0608146483228244
"9","ABCD1","X_152987864","NA",0.116429543875982,0.648716134399279,12.590184638165,0.624340773955543
"10","ABCE1","4_146015816","NA",-0.0781623058800207,0.691218872191543,29.2853215997237,0.53278548727391
"11","ABCF1","6_30534753","NA",-0.11549631598812,0.227604938578656,26.4536137284882,2.13539623326379
"12","ABCF3","3_183902355","NA",0.00695149237111714,0.957294480201223,14.9117530451482,0.0629653041630848
"13","ABHD10","3_111695488","DOWN",0.147245060519598,0.451915872545837,13.5855003661951,1.14587386551505
"14","ABHD16A","6_31643317","DOWN",-0.0488658317690058,0.678152226672576,6.64534239404977,0.560318939498019
"15","ABHD16A","6_31661602","NA",-0.0488658317690058,0.678152226672576,6.64534239404977,0.560318939498019
"16","ABHD16B","20_62486746","NA",-0.014067445096595,0.875475572559253,0.0525008858977302,0.191861169614336
"17","ABHD17A","19_1872080","NA",-0.190718032631008,0.418892149418333,17.5295006941751,1.25534924840403
"18","ABT1","6_26593067","NA",-0.25417978122591,0.0321604724344619,9.65364471588062,4.95856759004118
"19","ABTB2","11_34376256","NA",-0.428111905431865,0.290844409452524,7.09438612157749,1.78168052162277
"20","AC002066.1","7_116135054","NA",0,1,0,0
"21","AC002398.11","19_36230209","NA",0,1,0,0
"22","AC002398.11","19_36243528","DOWN",0,1,0,0
"23","AC002398.12","19_36243528","DOWN",0,1,0,0
"24","AC002398.9","19_36230209","NA",0,1,0,0
"25","AC002454.1","7_92460612","NA",0,1,0,0
"26","AC002472.13","22_21399681","NA",0,1,0,0
"27","AC002558.1","17_45183304","NA",0,1,0,0
"28","AC003002.6","19_57900763","NA",0,1,0,0
"29","AC003005.2","19_57988589","NA",0,1,0,0
"30","AC003102.1","17_42313834","NA",0,1,0,0
"31","AC003102.3","17_42380428","NA",0,1,0,0
"32","AC003104.1","17_40422306","NA",0,1,0,0
"33","AC003665.1","17_46017787","NA",0,1,0,0
"34","AC003682.16","19_58133460","NA",0,1,0,0
"35","AC004076.7","19_57900763","NA",0,1,0,0
"36","AC004076.9","19_57963294","NA",0,1,0,0
"37","AC004076.9","19_57988589","NA",0,1,0,0
"38","AC004221.2","19_1232134","NA",0,1,0,0
"39","AC004458.1","7_96097482","NA",0,1,0,0
"40","AC004528.1","19_986107","NA",0,1,0,0
"41","AC004528.4","19_986107","NA",0,1,0,0
"42","AC004540.4","7_26414940","NA",0,1,0,0
"43","AC004771.1","17_4876529","NA",0,1,0,0
"44","AC004854.4","7_44884667","NA",0,1,0,0
"45","AC004875.1","7_121209377","NA",0,1,0,0
"46","AC004988.1","7_40585156","NA",0,1,0,0
"47","AC005154.6","7_30632312","DOWN",0,1,0,0
"48","AC005154.6","7_30621402","NA",0,1,0,0
"49","AC005220.3","20_52556648","NA",0,1,0,0
"50","AC005253.2","19_18666701","NA",0,1,0,0
"51","AC005498.3","19_57042433","NA",0,1,0,0
"52","AC005498.4","19_57042433","NA",0,1,0,0
"53","AC005538.5","2_234863824","NA",0,1,0,0
"54","AC005789.11","19_38877104","DOWN",0,1,0,0
"55","AC005943.5","19_1563742","DOWN",0,1,0,0
"56","AC005944.2","19_3027387","DOWN",0,1,0,0
"57","AC006159.4","7_116210079","NA",0,1,0,0
"58","AC006159.5","7_116182823","NA",0,1,0,0
"59","AC006377.1","7_31830858","NA",0,1,0,0
"60","AC006538.4","19_2738484","NA",0,1,0,0
"61","AC007009.1","7_8298709","NA",0,1,0,0
"62","AC007040.11","2_71215399","NA",0,1,0,0
"63","AC007040.6","2_71215399","NA",0,1,0,0
"64","AC007128.1","7_8298709","NA",0,1,0,0
"65","AC007228.11","19_57074833","NA",0,1,0,0
"66","AC007246.3","2_39659998","NA",0,1,0,0
"67","AC007285.6","7_30020860","NA",0,1,0,0
"68","AC007285.7","7_30114142","NA",0,1,0,0
"69","AC007395.3","2_70907748","NA",0,1,0,0
"70","AC007405.8","2_171664227","NA",0,1,0,0
"71","AC007421.1","17_7516998","NA",0,1,0,0
"72","AC008060.5","7_155301716","NA",0,1,0,0
"73","AC008060.8","7_155247684","NA",0,1,0,0
"74","AC008063.2","2_162928826","DOWN",0,1,0,0
"75","AC008440.5","19_54373773","NA",0,1,0,0
"76","AC008697.1","5_158754122","NA",0,1,0,0
"77","AC008738.1","19_33791325","NA",0,1,0,0
"78","AC008937.2","5_56154298","NA",0,1,0,0
"79","AC008937.3","5_56200127","NA",0,1,0,0
"80","AC009065.1","16_2292306","NA",0,1,0,0
"81","AC009120.4","16_74330045","NA",0,1,0,0
"82","AC009121.1","16_11428923","NA",0,1,0,0
"83","AC009299.2","2_162108416","NA",0,1,0,0
"84","AC009336.1","2_176969047","DOWN",0,1,0,0
"85","AC009487.4","2_162278434","NA",0,1,0,0
"86","AC009487.5","2_162278434","NA",0,1,0,0
"87","AC009501.4","2_63274196","NA",0,1,0,0
"88","AC009955.8","2_220487654","NA",0,1,0,0
"89","AC010327.2","19_55738449","NA",0,1,0,0
"90","AC010458.1","19_48552650","NA",0,1,0,0
"91","AC010524.2","19_49886970","NA",0,1,0,0
"92","AC010746.3","2_198168306","NA",0,1,0,0
"93","AC010883.5","2_43455071","NA",0,1,0,0
"94","AC010894.3","2_175350781","NA",0,1,0,0
"95","AC011465.1","19_38543471","NA",0,1,0,0
"96","AC011484.1","19_46992305","DOWN",0,1,0,0
"97","AC011484.1","19_46992305","DOWN",0,1,0,0
"98","AC011484.1","19_46992305","DOWN",0,1,0,0
"99","AC011484.1","19_46992305","DOWN",0,1,0,0
"100","AC011484.1","19_46992305","DOWN",0,1,0,0
"101","AC011484.1","19_46992305","DOWN",0,1,0,0
"102","AC011495.1","19_50180194","DOWN",0,1,0,0
"103","AC011495.1","19_50180194","DOWN",0,1,0,0
"104","AC011523.2","19_51319574","NA",0,1,0,0
"105","AC011551.3","19_47099124","NA",0,1,0,0
"106","AC011747.7","2_8815511","NA",0,1,0,0
"107","AC011747.7","2_8821099","NA",0,1,0,0
"108","AC012314.20","19_54703387","NA",0,1,0,0
"109","AC012314.8","19_54622003","NA",0,1,0,0
"110","AC012456.4","2_11885173","NA",0,1,0,0
"111","AC012499.1","2_178560531","NA",0,1,0,0
"112","AC012531.23","12_54347781","NA",0,1,0,0
"113","AC012531.25","12_54410340","NA",0,1,0,0
"114","AC012594.1","2_171206926","NA",0,1,0,0
"115","AC012594.1","2_171196248","NA",0,1,0,0
"116","AC013264.2","2_198059736","NA",0,1,0,0
"117","AC013472.4","2_27231056","NA",0,1,0,0
"118","AC016644.1","5_56231243","NA",0,1,0,0
